Código producto	Descripción del producto	Descripción completa del producto	Tipo de producto	Tipo de canasta	Fecha inicio abastecimiento	Tipo de Bases
100000003	A.A SALICILIC 100MG CM/CM REC/CP	ACIDO ACETIL SALICILICO 100 MG COMPRIMIDO, COMPRIMIDO CON RECUBRIMIENTOENTERICO, CAPSULA CON GRANULOS CON RECUBRIMIENTO ENTERICO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000007	ABSORBENTE ANHIDRIDO CARBONICO X KG	ABSORBENTE  DE ANHIDRIDO CARBONICO Y VAPOR DE AGUA CON INDICADOR DE VIRAJE (QUE SEÑALE EL AGOTAMIENTO DE LA CAL SODADA) FORMA IRREGULAR TAMAÑO DEL GRANO 4 A 8 MESH BIDON O BOLSA HASTA 5 KG. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR KILOGRAMO.	Insumos	Canasta general	2020-01-01	272
100000009	ACENOCUMAROL 4 MG CM RANURADO	ACENOCUMAROL 4 MG COMPRIMIDO RANURADO EN CRUZ ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000010	ACETAZOLAMIDA 250 MG CM	ACETAZOLAMIDA 250 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000013	ACICLOVIR 400 MG CM	ACICLOVIR 400 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000014	ACICLOVIR 800 MG CM	ACICLOVIR 800 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-07-01	341-2.1
100000016	ACICLOVIR 250 MG P/SOL.INYECTABLE AM/FAM	ACICLOVIR 250 MG POLVO O POLVO LIOFILIZADO PARA SOLUCION INYECTABLE O SOLUCION INYECTABLE PARA ADMINISTRACIÓN INTRAVENOSA FRASCO AMPOLLA O AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA O AMPOLLA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000017	A.A SALICILIC 500MG CM/CM REC/CP	ACIDO ACETIL SALICILICO 500 MG COMPRIMIDO, COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO EN BLISTER.  ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO OCAPSULA.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.1
100000021	ACIDO FOLICO 1 MG CM/CM REC	ACIDO FOLICO 1 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
100000022	ACIDO FOLICO 5MG CM/CM REC	ACIDO FOLICO 5 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO	Fármacos	Canasta Esencial de Medicamentos	2020-01-01	341-2.2
