Nombre Comercial;Nombre Proveedor;Nombres de medidas;Precio Máximo Venta al Público;Tipo Producto;Descripción Producto;Documento de Compras;ZCEN;ZGEN
ACICLOVIR 400 MG CAJ 32 CM;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;3260;Producto Disponible;ACICLOVIR 400 MG CM;4500019711;500009506;100000013
ACICLOVIR 800 MG CAJ 30 CM;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;28880;Producto Disponible;ACICLOVIR 800 MG CM;4500022337;500010888;100000014
ACTRAPID 100 U/ML SOL INY 10ML FAM;NOVO NORDISK FARMACEUTICAL LTDA;Precio Máximo de Venta al Público;4957;Producto Disponible;INSULINA CRIS. HUMAN 100 UI/ML FAM 10 ML;4500021233;500009023;100000822
ADELINE 10 MG CP CAJ 21 CP;WINPHARM SPA;Precio Máximo de Venta al Público;508950;Producto Disponible;LENALIDOMIDA 10 MG CP;4500022435;500010945;100004872
ADELINE 25 MG CAJ 21 CP;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;277221;Producto Disponible;LENALIDOMIDA 25MG CP;4500023966;500012079;100003431
ADEMPAS 2,5 MG CM REC CAJ 84 CM;BAYER S.A.;Precio Máximo de Venta al Público;2635360;Producto Disponible;RIOCIGUAT 2,5 MG CM REC.;4500022458;500010952;100004916
AGGLAD OFTENO 0,2%SOL OFT 5 ML CAJ 1 FRA;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;5960;Producto Disponible;BRIMONIDINA 0,2% SOL OFTALMICA FRA 5 ML;4500022759;500011154;100003449
AGUALA 0,75% SOL.ORAL FRA 10 ML CAJ 1FRA;PHARMA INVESTI DE CHILE S.A.;Precio Máximo de Venta al Público;2110;Producto Disponible;PICOSULFATO 0,75% SOL.ORAL  FRA 10A15ML;4500023666;500011855;100005308
ALCON CILO-DEX SUSP.OFT 5ML CAJ 1 FRA;LABORATORIOS SANFER DE CHILE;Precio Máximo de Venta al Público;9970;Producto Disponible;CIPROFL/DEXAMET 3MG/1MG/ML FRA 5 A 10 ML;4500022908;500011274;100003478
ALDROX 70 MG CAJ 10 CM;LABORATORIO PASTEUR S.A.;Precio Máximo de Venta al Público;9860;Producto Disponible;ALENDRONATO 70 MG COMPRIMIDO, COMPRIMIDO RECUBIERTO O CAPSULA ENVASADO E N BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.;4500023991;500012077;100003224
AMATO 50 MG CAJ 60 CM;WINPHARM SPA;Precio Máximo de Venta al Público;10520;Producto Disponible;TOPIRAMATO 50 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.;4500023750;500011935;100003213
AMLODIPINO 5 MG CAJ 100 CM;ALPHA PHARMA CHILE SPA;Precio Máximo de Venta al Público;2600;Producto Disponible;AMLODIPINO 5 MG CM/CM REC.;4500022498;500009967;100003239
AMOXIC/CLAVULAN 500/125 MG CAJ 20 CM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;4530;Producto Disponible;AMOXIC/CLAVULAN 500/125 MG CP/CM/CM REC;4500023761;500011909;100000125
AMOXICIL./AC CLAV 875/125 MG CAJ 20 CM;ARAMA NATURAL PRODUCTS DISTRIBUIDOR;Precio Máximo de Venta al Público;6880;Producto Disponible;AMOXICIL/CLAVULAN 875/125 MG CM/CM REC;4500021138;500010275;100000126
AMOXICILINA 250MG/5ML P/SUS FRA 60ML;ARAMA NATURAL PRODUCTS DISTRIBUIDOR;Precio Máximo de Venta al Público;1040;Producto Disponible;AMOXICILINA 250MG/5ML P/SUS FRA60A 120ML;4500020225;500009771;100002322
AMOXICILINA 500 MG CAJ 100 CP;DIFEM LABORATORIOS S.A.;Precio Máximo de Venta al Público;5210;Producto Disponible;AMOXICILINA 500 MG CAPSULA, COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO O CAPSULA.;4500023882;500012008;100000122
AMPARAX 1 MG CAJ 25 CM;LABORATORIO WYETH INC.;Precio Máximo de Venta al Público;20990;Producto Disponible;LORAZEPAM 1 MG CM SUBLINGUAL;4500022076;500001419;100000945
ANAFRANIL 75 MG CAJ 20 CM;NOVARTIS CHILE S.A.;Precio Máximo de Venta al Público;16040;Producto Disponible;CLOMIPRAMINA 75 MG CM REC. LIB. PROLONG.;4500021221;500007458;100000391
AQUAREST 250 MG PVO SOBRE CAJ X 10 UN;LABORATORIO HOSPIFARMA CHILE LTDA.;Precio Máximo de Venta al Público;7890;Producto Disponible;SACCHAROMYCES BOULARDII 250 MG POLVO O POLVO LIOFILIZADO PARA USO ORALEN VASADO EN SOBRE. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLAVILIDAD DEL CONTENIDO. COTIZAR POR SOBRE.;4500023830;500012001;100003620
ARIPIPRAZOL 10 MG CAJ 30 CM;ACRUX LABS S.A.;Precio Máximo de Venta al Público;3690;Producto Disponible;ARIPIPRAZOL 10 MG CM;4500023902;500012016;100001808
ATEMPERATOR 375 MG/ML 25 ML CAJ 1 FRA;NOVOFARMA SERVICE S.A. / FERRING;Precio Máximo de Venta al Público;4888;Producto Disponible;ACIDO VALPROICO 375 MG/ML FRA 25 ML ORAL;4500019626;500009441;100000032
ATEMPERATOR 375MG/ML SOL. ORAL FRA 25 ML;WINPHARM SPA;Precio Máximo de Venta al Público;4790;Producto Disponible;ACIDO VALPROICO 10 MG/GOTA FRA 25 ML;4500022027;500008916;100002343
ATORVASTATINA 20 MG CAJ 30 CM REC;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;760;Producto Disponible;ATORVASTATINA 20 MG GRAGEA O COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD D EL CONTENIDO. COTIZAR POR GRAGEA O COMPRIMIDO.;4500023538;500011764;100000168
AUSENTRON 75 MG CAJ 30 CM LP;PHARMATRADE S.A.;Precio Máximo de Venta al Público;15280;Producto Disponible;CLOMIPRAMINA 75 MG CM REC. LIB. PROLONG.;4500022824;500011104;100000391
AVAMYS 27,5 MCG/DOSIS INH 120DO CAJ1FRA;ETEX FARMACEUTICA LIMITADA;Precio Máximo de Venta al Público;11380;Producto Disponible;FLUTICASONA 27,5 MCG/DO SUSP NASAL FRA;4500023034;500011372;100004353
AVODART 0,5 MG CAJ 30 CP;ETEX FARMACEUTICA LIMITADA;Precio Máximo de Venta al Público;15507;Producto Disponible;DUTASTERIDA 0,5 MG CM/CP;4500020701;500007381;100003412
AZATIOPRINA 50 MG CAJ 100 CM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;11500;Producto Disponible;AZATIOPRINA 50 MG CM/CM REC.;4500023725;500011928;100000174
BECTAM 20 MG CAJ 60 CM;ITF LABOMED FARMACEUTICA LTDA.;Precio Máximo de Venta al Público;3900;Producto Disponible;PAROXETINA 20MG CM REC.;4500023980;500012067;100001150
BERODUAL HFA 20/50 MCG FRA 200 DO;NOVOFARMA SERVICE S.A. / BOEHRINGER;Precio Máximo de Venta al Público;13600;Producto Disponible;FENOTEROL/IPRAT 0,05/0,02 MG INH 200 DS;4500020682;500000063;100000626
BETINA 16 MG CAJ 30 CM;WINPHARM SPA;Precio Máximo de Venta al Público;12750;Producto Disponible;BETAHISTINA 16 MG COMPRIMIDO ENVASADO EN BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR COMPRIMIDO.;4500023594;500011801;100003848
BISOPROLOL 2,5 MG COM REC CAJ 30 CM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;7220;Producto Disponible;BISOPROLOL 2,5 MG COM REC CAJ 30 CM;4500023161;500011562;100003260
BREXIL 10 MG/0,4 ML SOL. INY. CAJ 1 JPR;LABORATORIOS RECALCINE S.A;Precio Máximo de Venta al Público;15640;Producto Disponible;METOTREXATO 10 MG  SOL. INYECT. JRP;4500023724;500011927;100003909
BROMHEXINA 4 MG/5ML JBE 100ML CAJ 1 FRA;OPKO CHILE S.A.;Precio Máximo de Venta al Público;1113;Producto Disponible;BROMHEXINA 4 MG/5ML JARAB FRA 100A120 ML;4500019709;500009503;100000236
CALCITRIOL 0,25 MCG CAJ 60 CP;PHARMAMERICA LIMITADA;Precio Máximo de Venta al Público;8820;Producto Disponible;CALCITRIOL 0,25 MCG CAPSULA ENVASADO EN BLISTER. ENVASE RESISTENTE CON S ELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.;4500023930;500012044;100002190
CARVEDILOL 25 MG CAJ 30 CM;CHEMOPHARMA S.A.;Precio Máximo de Venta al Público;1781;Producto Disponible;CARVEDILOL 25 MG CM/CM REC.;4500021362;500010412;100002003
CATAPRESAN 100 MCG CAJ 30 CM;NOVOFARMA SERVICE S.A.;Precio Máximo de Venta al Público;13460;Producto Disponible;CLONIDINA 100 MCG CM;4500021725;500003098;100000394
CEFUROXIMA 500 MG CAJ 14 CM;ASCEND LABORATORIES SPA;Precio Máximo de Venta al Público;19390;Producto Disponible;CEFUROXIMA 500 MG CM REC;4500022629;500011059;100000360
CERVICORT RAPILENTO 3ML CAJ 1 FAM;COMERCIAL RM SPA;Precio Máximo de Venta al Público;12980;Producto Disponible;BETAMETASONA FOSF/ACET 3/3MG 3A5 ML FAM;4500021401;500010429;100000197
CINACALCET 30 MG CAJ 30 CM REC;PHARMA NETWORK SPA;Precio Máximo de Venta al Público;12885;Producto Disponible;CINACALCET 30 MG CM/CM REC;4500020593;500009991;100003427
